               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.046518,              0.0402,            0.013352,             0.48899,             0.31265,             0.32312,             0.15605,            0.052908,            0.033156,            0.013731,            0.003367,            0.003367,            0.003367
                  68,             0.04591,            0.040787,            0.013212,             0.49059,             0.35599,             0.34727,             0.17386,            0.052667,              0.0335,            0.013333,            0.003268,            0.003268,            0.003268
                  69,            0.046799,            0.041558,            0.013534,              0.5201,             0.34022,             0.34369,             0.16775,             0.05286,            0.033401,            0.014688,            0.003169,            0.003169,            0.003169
                  70,             0.04624,             0.04115,            0.013269,              0.5332,             0.30321,             0.33518,             0.16386,            0.053263,            0.033563,            0.014875,             0.00307,             0.00307,             0.00307
                  71,            0.045758,            0.041009,            0.012728,             0.50969,             0.31528,             0.33929,             0.16955,            0.052774,            0.033475,            0.014535,            0.002971,            0.002971,            0.002971
                  72,            0.045959,            0.041212,            0.013035,             0.47036,             0.34353,             0.32335,             0.16016,            0.052536,            0.033269,            0.014598,            0.002872,            0.002872,            0.002872
                  73,            0.045811,            0.041003,            0.013438,             0.52756,             0.32459,             0.33281,             0.16641,            0.052774,            0.033029,            0.013684,            0.002773,            0.002773,            0.002773
                  74,            0.045226,            0.040328,            0.013089,             0.52492,             0.31517,             0.32827,             0.16383,             0.05269,            0.033064,            0.014042,            0.002674,            0.002674,            0.002674
                  75,            0.045558,            0.040056,            0.012509,             0.48192,             0.34819,             0.32377,             0.16514,            0.052309,            0.033134,            0.014307,            0.002575,            0.002575,            0.002575
                  76,            0.045512,            0.040045,            0.012631,             0.51804,             0.30139,             0.32341,             0.16234,            0.052258,            0.033221,            0.013908,            0.002476,            0.002476,            0.002476
                  77,            0.045179,            0.040472,            0.012771,             0.55352,             0.28717,             0.32018,             0.15914,            0.052209,            0.033496,            0.014879,            0.002377,            0.002377,            0.002377
                  78,            0.044936,            0.040453,             0.01197,             0.50451,             0.33014,             0.33464,             0.16672,            0.052396,            0.033365,            0.013616,            0.002278,            0.002278,            0.002278
                  79,            0.044691,            0.038969,            0.012213,             0.54137,             0.33311,              0.3383,             0.16632,            0.052654,            0.033314,            0.014204,            0.002179,            0.002179,            0.002179
                  80,            0.044636,            0.040831,            0.012825,             0.52284,             0.34167,             0.34113,             0.17223,            0.052509,            0.033635,             0.01384,             0.00208,             0.00208,             0.00208
                  81,            0.044794,            0.040491,            0.012227,             0.48312,             0.34751,             0.33499,             0.17293,            0.052051,            0.033443,            0.014205,            0.001981,            0.001981,            0.001981
                  82,            0.044548,            0.039813,            0.011926,             0.50697,             0.33645,             0.33141,             0.16842,            0.052257,            0.033555,             0.01404,            0.001882,            0.001882,            0.001882
                  83,            0.044186,            0.039995,             0.01167,             0.55668,             0.31867,             0.33872,              0.1698,            0.052167,            0.033668,            0.014096,            0.001783,            0.001783,            0.001783
                  84,            0.044075,            0.039098,            0.011891,             0.50135,             0.35345,             0.34057,              0.1686,            0.051774,            0.033521,            0.013848,            0.001684,            0.001684,            0.001684
                  85,            0.044543,            0.040675,             0.01166,             0.55932,             0.32682,             0.34414,              0.1743,            0.051897,            0.033321,            0.014202,            0.001585,            0.001585,            0.001585
                  86,            0.043944,            0.039757,            0.011712,             0.49565,             0.34571,             0.33447,             0.17006,            0.052308,            0.033487,            0.013907,            0.001486,            0.001486,            0.001486
                  87,            0.044468,            0.040733,            0.011816,             0.50154,             0.35189,             0.33747,             0.17153,            0.052288,             0.03353,             0.01371,            0.001387,            0.001387,            0.001387
                  88,            0.044027,            0.038444,            0.011148,             0.52896,             0.33243,              0.3389,             0.17102,            0.052109,            0.033514,            0.014143,            0.001288,            0.001288,            0.001288
                  89,             0.04341,            0.038411,            0.011423,             0.49592,             0.32884,             0.33779,             0.16803,            0.052305,            0.033425,             0.01423,            0.001189,            0.001189,            0.001189
                  90,            0.043519,            0.039489,            0.011893,             0.53467,             0.33252,             0.34856,             0.17309,            0.052167,            0.033656,            0.013611,             0.00109,             0.00109,             0.00109
                  91,            0.043745,            0.041438,            0.011578,             0.54878,             0.33546,             0.35089,             0.17587,            0.052051,             0.03373,            0.013604,            0.000991,            0.000991,            0.000991
                  92,            0.043268,             0.03951,            0.011633,             0.48989,               0.333,             0.33346,             0.16879,            0.052389,            0.033604,             0.01377,            0.000892,            0.000892,            0.000892
                  93,            0.043508,            0.038202,            0.011217,             0.45113,             0.36703,             0.33459,              0.1664,            0.052113,            0.033649,            0.014436,            0.000793,            0.000793,            0.000793
                  94,            0.043386,            0.038493,            0.010956,              0.4713,             0.37163,             0.34064,             0.17193,            0.051824,            0.033651,            0.014198,            0.000694,            0.000694,            0.000694
                  95,             0.04351,            0.038963,            0.010784,             0.54659,             0.31495,             0.34522,             0.17234,            0.051828,            0.033791,            0.014507,            0.000595,            0.000595,            0.000595
                  96,            0.042648,            0.038184,            0.010806,             0.48059,             0.34568,              0.3433,             0.17202,            0.051842,            0.033636,            0.014442,            0.000496,            0.000496,            0.000496
                  97,            0.043074,            0.038955,             0.01113,             0.52796,             0.33607,             0.34571,             0.17057,            0.051876,            0.033725,            0.014295,            0.000397,            0.000397,            0.000397
                  98,            0.042679,            0.037911,            0.011101,             0.49599,             0.33675,             0.34214,             0.17165,            0.051803,            0.033761,            0.014124,            0.000298,            0.000298,            0.000298
                  99,             0.04255,            0.037193,            0.010793,             0.48334,             0.36224,             0.34507,             0.17476,            0.051795,            0.033721,             0.01416,            0.000199,            0.000199,            0.000199
